Entered by,Source first or second hand,Source,pages,Other source,URL ?,territory,lg group,original language,lg of publication,bilingual?,storyteller,date of recording ,place of recording,space coord,editor,translator,Story title (Eng),Story title (French),Story title (other),1-sentence summary,Abstracts : AI or Human ?,Abstract (Eng),Abstract (Fr),Keywords (Eng),Motifs (Eng),motifs inhabituels à une version,Motifs validés ,species,non-human,placenames,named characters,external link,description of link,Connection to other stories,Megamotifs,Thème ,Conte type,"Autres infos données dans le texte, pour la fiche conte ",ATU conte-type(AI ?),ATU motifs (AI?),motifs Pacifique  ?
Clothilde Volk,,Bensa & Rivierre 1983,16-31,https://doi.org/10.24397/pangloss-0005237,https://pangloss.cnrs.fr/corpus/show?oai_primary=cocoon-34c4f9aa-3a80-3d2f-a4a7-4b5b5bb2af30&corpus=C%C3%A8muh%C3%AE&oai_secondary=cocoon-36cc1d51-0ba0-350f-a0fa-6d56c696e9da&filter=%7B%22form-s%22%3A%7B%22phono%22%3A1%7D%2C%22transl-s%22%3A%7B%22fr%22%3A1%7D%2C%22transl-w%22%3A%7B%22fr%22%3A1%2C%22en%22%3A1%7D%2C%22form-w%22%3A%7B%22phono%22%3A1%7D%2C%22transl-t%22%3A%7B%22fr%22%3A0%7D%2C%22form-t%22%3A%7B%22phono%22%3A0%7D%7D,"New Caledonia, Grande-Terre N",Cèmuhî,Cèmuhî,French,yes ,Maurice Kodèm,1971,Kokingone,"-20.859062, 165.258667
","Rivierre, Jean-Claude","Rivierre, Jean-Claude",The two wild fruits,Les deux fruits sauvages,Lupwö ucidaan,"Two boys, born from women and Ochrosia fruits, slaughter their human male relatives and must thus return to life as fruits on the tree",Human,"The two Ucidaan sisters leave their father and three brothers to move to Pwöboa. One day, while fishing for prawns, two Ochrosia fruits get caught in their nets. The older sister swallows one, the younger one inadvertently swallows the other. Back home, each girl gives birth to a child that is the fruit they swallowed. As these two boys grow up, their mothers forbid them from going too close to the shore where their uncles live, for fear because they might kill them. They go anyway, kill their grandfather and uncles (who had planned to eat them), and cook their flesh with yams. Back home, the boys offer this food to their mothers, who learn the truth only after tasting it. Angry, the mothers tell them they are but Ochrosia fruits. The boys decide to return to the tree and find the fruits hanging by themselves. They say aloud that they want to join them, close their eyes, and upon reopening them, find themselves hanging back on the tree.","Les deux sœurs Ucidaan quittent leur père et leurs trois frères pour s’installer vers Pwöboa. Un jour, alors qu’elles pêchent des crevettes dans le ruisseau, deux fruits d’Ochrosia se prennent dans leurs épuisettes. Si l’aînée en avale un alors que sa sœur le lui demande, la cadette avale l’autre par mégarde. De retour chez elles, elles accouchent chacune d’un enfant qui est le fruit avalé. Ayant grandi et partant chasser, leurs mères leur interdisent de trop s’approcher du rivage où vivent leurs oncles qui les tueraient. Y allant quand même, ils tuent leur grand-père et leurs oncles qui avaient prévu de les manger. Ils cuisent leur chair et les mangent avec des ignames. Rentrés, ils offrent cette nourriture à leurs mères, qui n’apprennent la vérité qu’après l’avoir goûtée. De colère, elles leur disent être des fruits d’Ochrosia. Les deux garçons décident donc de partir rejoindre le tronc de l'arbre. Arrivés devant, ils voient des fruits pendre seuls à l’arbre alors que ces fruits doivent aller par deux. Ils déclarent à voix haute vouloir les rejoindre, ferment les yeux. Une fois rouverts, ils se trouvent suspendus à l’arbre. ",human-like children ; cannibalism ;  a non-human birth ; metamorphosis ;  ,"§§  a woman eats a fruit and gives birth to a human-like child 
§§  someone is forbidden to go upon a limit  
§§  members of a family kill each other 
§§  human-like children cook people 
§§  human-like children cook their relatives 
§§  a human-like child gives human flesh to his mother to eat
§§ a non-human feeds a human with human flesh 
§§  parents reveal to their child that they are not human 
§§  someone finds out that he is not human  
§§  a child finds out that he is not human  
§§  a human-like child decides to leave its parents
§§  a non-human returns to its world  
§§  humans eat other humans 
§§  someone achieves something by saying it out loud and closing their eyes  
§§  a human-like child returns to his world  
§§  a human-like child metamorphoses into a non-human 
§§  a human-like child kills his near kin 
§§  a family member wants to eat a non-human  
§§  a non-human kills someone",,ok ,Ochrosia,,Pwöboa,Ucidaan (family name of all the characters) ,,,toutes les histoires d'adoption d'enfant animal / fruit etc +corylinde man etc... ,A gives birth to B. B is not of the same species as A. B returns to his world. A is left alone. ,Impossible meeting of two worlds : giving birth to a human-like child ,Adoption of a non-human child is found or born. The non-human is eaten by a human. A quarrel arises. The eater suicides himself. The parents grieve to death. ,level 2,,,
Clothilde Volk,,Bensa & Rivierre 1983,32-41,,,"New Caledonia, Grande-Terre N",Cèmuhî,Cèmuhî,French,yes,Pwöpwé Pètiwi,1975,Tiwaka,"-20.888, 165.195981","Rivierre, Jean-Claude","Rivierre, Jean-Claude",The woman and the octopus,La femme et le poulpe,Nyaa âdi hâlé,"After being caught, an octopus manages to escape being eaten, and instead kills Pearl Money, the woman who had caught it.",Human,"One day, a woman called Pearl Money and her companions went to the reef to look for shells.  As they were collecting shellfish, Pearl Money caught an octopus and put it in her basket. She turned its head over without removing its organs. On top of it, she then added the shells and leaves what she had collected. §§ The octopus feeling oppressed complained to Pearl Money, whom it mistook for its mother. §§ When she returned home with the other women, she offered to keep the octopus for the following day. §§ During the night, the octopus tried to escape twice, without success. The third time, Pearl Money put it in the pot. Escaping again, it entered her body through every orifice until she died. Then it returned home. 
","Une femme nommée Monnaie-de-perles propose un jour à ses compagnes d’aller chercher des coquillages au récif. Alors qu’elles en ramassent, elle attrape un poulpe qu’elle met dans son panier. Elle lui retourne la tête sans lui retirer ses organes. Elle ajoute par-dessus les coquillages et les feuilles qu’elle récolte. Le poulpe se sent oppressé et se plaint à Monnaie-de-perles qu’il prend pour sa mère. Rentrée chez elle avec les autres femmes, elle propose de ne manger le poulpe que le lendemain. Dans la nuit, le poulpe tente de s’échapper deux fois, sans succès. À la troisième, elle le met dans la marmite. S’échappant de nouveau, il s’introduit en elle par tous ses orifices jusqu’à ce qu’elle meure. Puis il retourne chez lui. ",fishing ; talking animal ; murder; octopus; revenge,"§§ an animal mistakes a human for its parent 
§§  a non-human mistakes a human for its parent 
§§  a woman finds an animal in the wild and doesn't kill it 
§§  a woman finds a non-human in the wild and doesn't kill it 
§§  an animal kills a human who wants to eat it 
§§  a non-human kills a human who wants to eat it 
§§  an octopus kills a human who wants to eat it 
§§  an animal kills a human who wants to eat it  
§§  someone goes to the beach to search for shellfish 
§§  an animal penetrates a human through different organs 
§§  an octopus kills someone from the inside 
§§  a non-human kills someone from the inside
§§  an animal kills someone from the inside",,ok ,octopus §§ Octopoda spp.,,,Pearl Money (the woman who gets murdered by the octopus),,,,A human/animal (A) finds an animal/human (B) and wants to eat it §§ however A doesn't kill B §§ A puts B in a basket and carries him §§ B isn't dead but manipulates his captor §§ B is in A's belly §§ B kills A from the inside,Impossible meeting of two worlds : adoption of an Animal Child ,The eater eaten ,level 2,,,
Clothilde Volk,,Bensa & Rivierre 1983,42-51,https://doi.org/10.24397/pangloss-0005231,https://pangloss.cnrs.fr/corpus/show?oai_primary=cocoon-c476c8d3-d930-3178-81e9-35a203a2f345&corpus=C%C3%A8muh%C3%AE&oai_secondary=cocoon-71265dc8-92b9-37d5-a0c9-f69c5f3838a6&filter=%7B%22form-s%22%3A%7B%22phono%22%3A1%7D%2C%22transl-s%22%3A%7B%22fr%22%3A1%7D%2C%22form-w%22%3A%7B%22phono%22%3A1%7D%2C%22transl-w%22%3A%7B%22fr%22%3A1%2C%22en%22%3A1%7D%2C%22transl-t%22%3A%7B%22fr%22%3A0%7D%2C%22form-t%22%3A%7B%22phono%22%3A0%7D%7D,"New Caledonia, Grande-Terre N",Cèmuhî,Cèmuhî,French,yes,Sébastien Pwagu,1966 ~ 1967,Tyé,"-20.901, 165.298","Rivierre, Jean-Claude","Rivierre, Jean-Claude",[The seashell and the child(ren)],Le coquillage et l'enfant / Le coquillage et les enfants,Lé èwa apahîn tècèiu,A boy mistakenly ate the seashell his sisters had adopted as their baby .,Human,"Two sisters adopted a seashell as their own, and hid it from their youngest brother. But having found the shell, he roasted it, and ate it, not knowing that it was the baby adopted by his sisters. §§ When the sisters learned of this, they blamed their brother. Hearing this, he became sad and went off to drown himself in the river. §§ He shouted out the names of his sisters, who came to rescue him, without success. When they saw that their brother has drowned, they cried themselves to death.
","Deux sœurs adoptent un coquillage comme leur enfant, et le cachent à leur frère benjamin. Cependant celui-ci trouve le coquillage, le grille, et le mange, sans savoir que c'était le bébé adopté par ses sœurs. Quand celles-ci l'apprennent, elles blâment leur frère; entendant cela, il s'attriste et part se noyer dans la rivière. Il crie les noms de ses sœurs, qui viennent pour tenter de le secourir, mais en vain. Constatant la noyade de leur frère, elles pleurent jusqu'à en mourir.",non-human adoption;  shellfish ; siblings; suicide ;  to die of sorrow ; drowning ,"§§ a human adopts a non-human 
§§ a woman adopts a shellfish 
§§ someone kills a child by mistake 
§§ someone kills a non-human by mistake 
§§ someone eats a non-human 
§§ a human eats a non-human
§§ someone commits suicide
§§ someone commits suicide out of despair
§§ someone cries to death 
",,ok ,shellfish,,,Tulupi (eldest daughter) / Uupi (the other sister) / the youngest brother,https://doi.org/10.24397/pangloss-0005231,"Same story on Pangloss Collection, with audio + vernacular + French translation. By Rivierre.",,A adopts B. B is not of the same species as A. B is eaten by C. C suicides himself when he finds out. A is left alone and grieve to death.,Impossible meeting of two worlds : adoption of an Animal Child ,Adoption of a non-human child is found or born. The non-human is eaten by a human. A quarrel arises. The eater suicides himself. The parents grieve to death. ,level 2,,,
Clothilde Volk,,Bensa & Rivierre 1983,52-71,"https://doi.org/10.24397/pangloss-0005239


",https://pangloss.cnrs.fr/corpus/show?oai_primary=cocoon-b100e342-4ea3-3907-aede-3aae777c59e0&corpus=C%C3%A8muh%C3%AE&oai_secondary=cocoon-dfb8f262-642f-3334-9b1a-7a62e8fb3653&filter=%7B%22form-s%22%3A%7B%22phono%22%3A1%7D%2C%22transl-s%22%3A%7B%22fr%22%3A1%7D%2C%22form-w%22%3A%7B%22phono%22%3A1%7D%2C%22transl-w%22%3A%7B%22fr%22%3A1%2C%22en%22%3A1%7D%2C%22transl-t%22%3A%7B%22fr%22%3A0%7D%2C%22form-t%22%3A%7B%22phono%22%3A0%7D%7D,"New Caledonia, Grande-Terre N",Cèmuhî,Cèmuhî,French,yes,Sébastien Pwagu,1967,Tyé,"-20.901, 165.298","Rivierre, Jean-Claude","Rivierre, Jean-Claude",The children of the orange tree,Les enfants de l'oranger,Acè dologö hê-éémwa-tuo,"A girl, born from a tree, had a son with a chief from another island ; after a fight, the chief died thanks to the old woman who had adopted the girl. ",Human,"An orange bursting in the ocean gave birth to a tree that rose to the surface.  It produced two fruits which, when ripe, fell into the water and split open. A girl and a boy emerged from it. As they grew, the tree decided to take them to the shore, where an old woman welcomed them to her islet as her own children. §§ One day, the chief of Vieux-Touho went out to sea to fish with his subjects. They were also welcomed on the islet. But the chief, having fallen in love with the girl, left the islet, taking her with the old woman's permission. §§ Several years later, the girl gave the chief a son who inadvertently broke his father's flute. Furious, he insulted them and reminded his wife of her fruit origin. She fled with her son back to the islet. §§ The chief tried to find them, but the old woman ordered the islet to disappear underwater and move away. The chief chased them for a whole day, then died. His subjects decided to return and buried their leader.","D'une orange qui éclate dans l'océan naît un arbre qui s’élève à la surface.  Il produit deux fruits qui, une fois mûrs, tombent à l’eau et se fendent. Une fille et un garçon en surgissent. Ayant grandi, l’arbre décide de les emmener au rivage où une vielle femme les accueille sur son îlot comme ses enfants. Un jour, le chef de Vieux-Touho part en mer pour pêcher avec ses sujets. Ils sont aussi accueillis sur l’îlot. Mais le chef, tombé amoureux de la fille, repart en l’emmenant sur l’autorisation de la vieille femme. Plusieurs années après, la fille a donné au chef un fils qui par mégarde casse la flûte de son père. Furieux, il les insulte et rappelle à sa femme son origine de fruit. Elle décide alors de partir avec son fils et retourne chez la vieille femme. Le chef tente de les retrouver, mais la vieille femme peut commander à l’îlot de disparaitre sous l’eau et de se mouvoir. Le chef les poursuit pendant une journée entière, puis meurt. Ses sujets décident donc de rentrer et d’enterrer leur chef. ",child adoption ; non-human ; orange ; drifting island ; love ;   ,"§§  a fruit dropped in the ocean creates a  floating tree
§§ a fruit dropped in the ocean creates a tree
§§ a flotting tree gives birth to a human
§§ a non-human gives birth to a human
§§  a tree gives birth to a human  
§§  a human comes out from a fruit
§§  a human adopts a non-human 
§§  a human marries a non-human
§§  a human rejects its spouse because of its non-human origin 
§§  a man rejects his wife because of her non-human origin 
§§  a woman leaves her spouse with her child 
§§  a woman can command an islet
§§ someone has power the move islands
§§ someone moves islands
§§ someone has the power to change the landscape 
§§ a tree gives birth to a human 
§§ a non-human gives birth to a human
§§ a chief goes after his men and dies 
§§ a chief falls in love with a human
§§ someone falls in love with a human 
§§ a child breaks an object
§§ a child breaks a flute  
§§ a man gets violent because of an incident 
§§ a human gets violent because of an incident",,ok ,orange,,Vieux-Touho ,chief of Vieux-Touho,,,l'île aux moustique de Alex + romamanmangan + totorikpian sandrine,A gives birth to B. B is not of the same species as A. C adopts B.D falls in love with B and takes B away. B gives birth to E. D gets mad at B because of E. B leaves with E and goes back to C. C helps B and E to escape. D dies. ,Impossible meeting of two world : marriage to a non-human spouse ,,level 2,,,
Clothilde Volk,,Bensa & Rivierre,72-79,https://doi.org/10.24397/pangloss-0005241,https://pangloss.cnrs.fr/corpus/show?oai_primary=cocoon-baceffa6-5295-33b0-a8e7-aa398a092171&corpus=C%C3%A8muh%C3%AE&oai_secondary=cocoon-ae67671f-94df-3f2e-a72d-7f481602854e&filter=%7B%22form-s%22%3A%7B%22phono%22%3A1%7D%2C%22transl-s%22%3A%7B%22fr%22%3A1%7D%2C%22form-w%22%3A%7B%22phono%22%3A1%7D%2C%22transl-w%22%3A%7B%22fr%22%3A1%7D%2C%22transl-t%22%3A%7B%22fr%22%3A0%7D%2C%22form-t%22%3A%7B%22phono%22%3A0%7D%7D,"Nouvelle-Calédonie, Grande Terre N (région de Touho)",Cèmuhî,Cèmuhî,French,yes,Marie Daulo,1965,Poyes,"-20.7914721, 165.2508229",Rivierre,Rivierre,[Turtle and the two fisher women,Tortue et les deux pêcheuses,Dèngilaan me iludaan,"Because a turtle refuses to help two fisherwomen, they take revenge and cause her death and the death of her children.",Human,"Dèngilaan and Iludaan made torches and lit a fire to fish. But an eel splashed them, putting out their torch. They then went to see Mother Turtle and her children to ask for a light, but she refused. To get revenge, the two fisherwomen blackened the inside of Mother Turtle's house. Twice, one of her children fell ill, prompting Mother Turtle to go to Dèngilaan and Iludaan for help. They refused and the children died. Finally, Mother Turtle diesd like all of her children.","Dèngilaan et Iludaan fabriquent des torchent et allument un feu pour pêcher. Mais une anguille les éclabousse, éteignant leur torche. Elles vont alors voir Mère-Tortue-et-ses-enfants pour lui demander du feu, mais elle refuse. Pour se venger, les deux pêcheuses noircissent l'intérieur de chez Mère-Tortue. Par deux fois, un de ses enfants tombe malade, poussant Mère-Tortue à aller demander de l'aide à Dèngilaan et Iludaan. Elles refusent et les enfants meurent. Finalement, Mère-Tortue meurt comme tous ses enfants. ",fisherwomen ; turtle ; fishing ; help ; revenge ; death ; sickness ; non-human help,"§§  a human asks a non-human for help
§§  a human asks an animal for help  
§§  someone asks an animal for help
§§  an animal splash puts out fire 
§§  a non-human dies because ir refuses to help someone 
§§  an animal dies because it refuses to help someone 
§§  a human takes revenge on a non-human 
§§  someone takes revenge on a non-human
§§  a human takes revenge on an animal 
§§  a human takes revenge on a turtle 
§§  a human takes revenge on a non-human by blackening its home
§§   a human uses gum tree bark to blacken something 
§§  a non-human begs a human for help 
§§  an animal begs a human for help 
§§  a non-human stays in the dark and die  
§§  a non-human family dies",,ok ,eel; turtle ; ,,,Dèngilaan ; Iludaan; Mère-Tortue,,,la tortue et le rat ; et l'octopus etc. Celui qui n'est pas aidé refuse son aide aux autres. ,A gives birth to B. B is not of the same species as A. C adopts B.D falls in love with B and takes B away. B gives birth to E. D gets mad at B because of E. B leaves with E and goes back to C. C helps B and E to escape. D dies. ,Between two worlds: Death following an unfortunate encounter with a demon or a magical creature ,,level 2,,animaux alliés,
Clothilde Volk ,,Bensa & Rivierre,82-87,"https://doi.org/10.24397/pangloss-0005260",https://pangloss.cnrs.fr/corpus/show?oai_primary=cocoon-ea37401c-f6c4-3315-ba6f-e8e95eaf204a&corpus=Paic%C3%AE&oai_secondary=cocoon-344d69ca-989b-36d9-ba1a-11b3276259a1&filter=%7B%22form-s%22%3A%7B%22phono%22%3A1%7D%2C%22form-w%22%3A%7B%22phono%22%3A1%7D%2C%22transl-w%22%3A%7B%22fr%22%3A1%7D%2C%22transl-s%22%3A%7B%22fr%22%3A1%2C%22en%22%3A1%7D%2C%22transl-t%22%3A%7B%22fr%22%3A0%2C%22en%22%3A0%7D%2C%22form-t%22%3A%7B%22phono%22%3A0%7D%7D,Nouvelle-Calédonie,Paicî,Paicî,French,yes,Irénée Koowi,1967,Galilée,,Rivierre,Rivierre,[The child who came out of the tree],L'enfant sorti de l'arbre,Jojooro Âboro ,A half-human half-devil ancestor used his magical powers to turn a spirit child into a human.,Human,"A half-human half-devil ancestor went to the dance square around sunset. There, children from all over joined him to play on the lawn he maintained. They left at dusk, and so on for three days. On the third day, the ancestor noticed that a child, lit by the setting sun, mysteriously disappeared into the shadow of a tree. The next day, he hid near the tree and learned that the child lived inside with his parents. He took a leaf and spat on the child to close the tree and took him home. With his magic, he separated him from the spirit world and made him a human.","Un ancêtre mi-humain et mi-diable se rend sur la place de danse aux alentours du coucher du soleil. Là, des enfants venus de partout le rejoignent pour jouer sur la pelouse qu'il entretient. Ils repartent au crépuscule, et ainsi pendant trois jours. Le troisième jour, l'ancêtre remarque qu'un enfant, éclairé par le soleil couchant, disparait mystérieusement dans l'ombre d'un arbre. Le lendemain, il se cache vers l'arbre et apprend que l'enfant habite à l'intérieur avec ses parents. Il prend une feuille et crachote sur l'enfant pour refermer l'arbre et l'emmène chez lui. Avec sa magie, il le sépare du monde des esprits et en fait un homme. ",half-human ; half-devil ancestor ; spirit child ; human transformation ; adoption ; spell ; ,"§§ a half-human half-demon ancestor turns a human-like child into a human 
§§  a human-like child lives inside a tree 
§§  someone turns a human-like child into a human 
§§  someone uses a leaf to cast a spell
§§  someone turns a spirit into a human 
§§  a human adopts a human-like creature
§§  a human adopts a non-human 
§§  a human-like creature comes party with humans
§§ a non-human comes party with humans 
§§  a human-like creature returns to its secret place every night 
§§ a non-human returns to its secret place every night 
§§  someone hides and discovers where a human-like creature lives 
§§ someone close the boundary between worlds using a charm
§§ someone spits on a leaf to close the boundary between two worlds
§§ someone prevents a wild child to return to its world
§§ a wild child is adopted
§§ a sorcerer turns a wild child into a human
§§ a sorcerer turns a spirit into a human
§§ someone turns a spirit child into a human",,ok ,,,,,,,le mythe de la noix de coco : on prend un enfant au monde non humain, C finds out A is not like a group of B. C destroys A's access to its world and turns A into B. A stays with the group of B. ,Impossible meeting of two worlds: adoption of a wild child ,[ADD] creating a human ; Adoption of someone from another world.,level 2,,,
Clothilde Volk ,,Bensa & Rivierre,88-107,,,Nouvelle-Calédonie ,Paicî,Paicî,French,yes,Mme Göröwirijaa,1973,Näpwéwiimiâ,"-20.9382999, 165.3834811",Rivierre,Rivierre,[Grand-Waka],Grand-Waka,Wakë mäinä,"An eel turns into a girl and marries a human, who rejects her, causing her to commit suicide and become a spirit, while the man is eaten by a shark",Human,"The Ko-popwé brothers went fishing. The youngest caught an eel that turned into a little girl, whom the brothers adopted. Grand-Waka came to see them to take her in exchange for money, which she accepted even though they had hidden her. Several years later, Grand-Waka decided one evening to go to a party without his wife and their son, ""Grand-père-grand"", but she went anyway, transformed into an old woman covered in ashes. She settled in an abandoned house where Grand-Waka cheated on her twice with another woman, Flyingfox. Later, when his wife had returned home, he came back with his new wife and her companions. When he asked his wife to show Flyingfox around the plantations, she killed her. To do so, she made her climb down onto a rock by the sea, which stung her. Enraged, Grand-Waka insulted his first wife as an eel and rejected her, prompting her to hang herself with a vine. Despite her death, the child she was carrying survived by feeding on the rottenness of her body, while she persisted in the form of a spirit. She then lived with her daughter until one day she went to retrieve her son. Grand-Waka, who wanted his children back, pursued them, but was eaten by a shark while crossing a river.","Les frères Ko-popwé sont partis pêcher. Le benjamin récupère une anguille qui se transforme en une fillette que les frères adoptent. Grand-Waka vient les voir pour l’emmener en échange d’argent, ce qu'elle accepte alors qu'ils l'avaient cachée.  Plusieurs années plus tard, Grand-Waka décide un soir d’aller à une fête sans sa femme et leur fils, Grand-père-grand, mais elle y s’y rend quand même, transformée en vieille femme couverte de cendres. Elle s’installe dans une maison abandonnée où Grand-Waka vient par deux fois la tromper avec une autre femme, La-roussette. Plus tard, alors que sa femme est rentrée, il revient avec sa nouvelle épouse et ses compagnes. Alors qu’il demande à sa femme de faire visiter les plantations à La-roussette, elle la tue. Pour cela, elle la fait descendre sur un rocher situé au bord de la mer, qui la pique. Furieux, Grand-Waka traite sa première femme d’anguille et la rejette, ce qui la pousse à se pendre à l’aide d’une liane. Malgré sa mort, l’enfant qu’elle portait survit en se nourrissant de la pourriture de son corps, tandis qu’elle subsiste sous la forme d’un esprit. Elle vit désormais avec sa fille jusqu’à ce qu’elle aille un jour récupérer son fils. Grand-Waka, qui veut reprendre ses enfants, les poursuit, mais il meurt mangé par un requin alors qu’il traversait une rivière. ",animal transformation ; marriage ; cheating  ; murder ; suicide  ; metamorphosis ;  a non-human spouse ; ,"§§ an animal turns into a human
§§ a non-human into a human
§§ an eel turns into a child 
§§ a human adopts a child-like human
§§ a human adopts an animal-child 
§§  a human marries a human-like creature
§§ a human marries an animal woman
§§ a human marries a eel-woman   
§§ an animal becomes a human and is adopted by a human 
§§ a human leaves his animal spouse alone
§§ an animal turns into a human and marries a human 
§§ a human-like creature puts on a disguise to attend a human party
§§ a human-like creature finds out its spouse is cheating
§§ a  spouse cheater gets killed 
§§ someone uses vine to hang himself
§§ someone becomes a spirit after its death 
§§ a child eats its mother corpse to survive
§§ someone eats a relative
§§ a human eats a human 
§§ an animal spouse is eaten
§§ a marine animal spouse is eaten
§§ someone is eaten by an animal 
§§ someone is eaten by a shark 
§§ someone betrays their husband or wife and is punished 
§§ someone commits suicide 
§§ people from two worlds can't be together",,ok ,eel ; ,,,The Ko-popwé brothers ; Grand-Waka ; Grand-père-grand ; La-roussette  ; ,,,Romanmangan ; vie de chef ; ,"A adopts B. B is not the same species as A but metamophoses into A. B marries C. C cheats on B with D. B kills D. C rejects B who commit suicid and metamorphoses into a spirit. B's body is eaten by E. E and B escape C, who dies eaten. ",Impossible meeting of two worlds: marriage to a non-human spouse ,The wife from another realm,level 2,,,
Clothilde Volk ,,Bensa & Rivierre,108-129,,,Nouvelle-Calédonie,Paicî,Paicî,French,yes,Clément Goromôtö,1973,Waté (Yaté ?),"(-22.1656204, 166.9499028)",Rivierre,Rivierre,[The grandmother and the three brothers],La  grand-mère et les trois frères ,Tèèpa aéjii wâ bwëkua,A grandmother who killed two of her grandchildren got killed by the third and eaten by the three of them. ,Human,"The eldest brother went to the seaside to throw mango fruits, then set off back home. He stoped by his grandmother's house to ask for supplies and ended up spending the night there. The grandmother waited until he was asleep to smash his skull with an axe. The same thing happened to the middle child, who had gone looking for the eldest. Then the youngest set off. He followed their trail, played with the mango fruits, and then went to his grandmother's house. After having decided he would spend the night there, he went out for a walk and brought back a banana flower, which he placed in a basket in which the grandmother had thrown the bodies of his brothers. When, in the middle of the night, the grandmother tried to kill him, the banana flower warned the boy, who waked up and killed her. Then the brothers stirred in the basket and came out. To get revenge, they put their grandmother in the oven and ate her.","L’ainé des frères part au bord de la mer lancer des fruits de faux-manguier puis prend le chemin du retour. Il passe par chez sa grand-mère pour lui demander des provisions et finit par passer la nuit chez elle. La grand-mère attend qu’il dorme pour lui fracasser le crâne avec une hache. La même chose arrive au cadet, parti à la recherche de l’ainé. C’est ensuite le benjamin qui prend la route. Il suit leur trace, joue avec les fruits du faux-manguier puis va chez sa grand-mère. Après avoir décidé qu’il allait y passer la nuit, il sort se promener et ramène une fleur de bananier qu’il dépose dans un panier dans lequel la grand-mère a jeté les corps de ses frères. Quand, au milieu de la nuit, la grand-mère tente de le tuer, la fleur de bananier avertit le garçon qui se réveille et la tue. C’est alors que les frères s’agitent dans le panier et en sortent. Pour se venger, ils mettent leur grand-mère au four et la mangent. ", bad grandmother ; grandchildren ; anthropophagy ; murder ,"§§ a grandmother kills her grandchildren
§§ a relative kills family members
§§ the youngest brother accomplishes a remarkable deed
§§ a group of brothers fails at a task until the youngest brother succeeds
§§ the youngest brother kills the murderer
§§ a human uses a magic plant 
§§ a human uses a banana flower to bring his relatives back to life
§§ dead bodies are kept into baskets
§§ a banana flower has the power to bring people back to life 
§§ someone gets killed but lives anyway 
§§ someone eats a relative
§§ people eat their murderer 
§§ people eat their grandmother",,ok ,banana flower ; ,,,,,,,A kills everyone until B turns up. B uses a magic object to help him win over A.  B kills A. everyone come back to life and kill/eat A; ,Victory: over a human ,The eater becomes the eaten ,level 2,,,
